_id,activation,dominance,emotion,end_time,start_time,titre,to_translate,translated,valence
625682441da7a5c1eaef3689,2.5,3.5,sad,6.0541,3.9987,Ses02M_impro02_F000," I don't want you to go.",Je ne veux pas que tu partes.,2.5
625682441da7a5c1eaef368a,3,4,sad,15.1,7.0366,Ses02M_impro02_M000," I know, I know. I don't want to go either baby. I love you know. And I'm going to miss you a lot.","Je sais je sais. Je ne veux pas y aller non plus bébé. Je t'aime tu sais. Et tu vas beaucoup me manquer.",2
625682441da7a5c1eaef368b,2.5,4.5,sad,23.3599,15.5524,Ses02M_impro02_F001," I'm going to miss you too; I don't know what I'm going to do here without you. It's going to be so lonely, and so hard.","Tu vas me manquer aussi; Je ne sais pas ce que je vais faire ici sans toi. Ça va être si solitaire, et si dur.",1.5
625682441da7a5c1eaef368c,2.5,4,sad,26.4151,23.579,Ses02M_impro02_F002," I don't want to be a single mom.",Je ne veux pas être une mère célibataire.,1.5
625682441da7a5c1eaef368d,3,3.5,sad,31.4253,26.7598,Ses02M_impro02_M001," You won't be. I'll be back; I'll be back before you know it. All right, and","Vous ne le serez pas. Je reviendrai; Je serai de retour avant que tu ne le saches. D'accord, et",3.5
625682441da7a5c1eaef368e,2.5,3,sad,32.6401,31.3058,Ses02M_impro02_F003, but,mais,2
625682441da7a5c1eaef368f,2.5,2.5,sad,33.6558,32.68,Ses02M_impro02_M002, and,et,4
625682441da7a5c1eaef3690,3,4,sad,37.3201,33.4566,Ses02M_impro02_F004," It's dangerous; I mean how can you make sure that you'll","C'est dangereux; Je veux dire, comment peux-tu t'assurer que tu vas",2
625682441da7a5c1eaef3691,3,4,fru,44.4296,37.5389,Ses02M_impro02_M003," It's- It's dangerous anywhere, honey. I mean this is -this- I'm just going to go and we'll get it over with,","C'est... C'est dangereux n'importe où, chérie. Je veux dire c'est - ça - je vais juste y aller et on en finira avec,",2.5
625682441da7a5c1eaef3692,4,4,sad,54.8649,44.4743,Ses02M_impro02_M004," I'll come back we'll have, you know, some good benefits from being in the service and then we'll live - we'll live a happy life, then the rest of us, like the three of us.","Je reviendrai, nous aurons, vous savez, de bons avantages à être dans le service et ensuite nous vivrons - nous vivrons une vie heureuse, puis le reste d'entre nous, comme nous trois.",3.5
625682441da7a5c1eaef3693,2.5,3.5,sad,55.5818,54.02,Ses02M_impro02_F005, I hope so.,"Je l'espère.",4
625682441da7a5c1eaef3694,2.5,3,fru,56.8962,55.4225,Ses02M_impro02_M005, A little family.,Une petite famille.,3.5
625682441da7a5c1eaef3695,2,3,sad,58.0712,56.6174,Ses02M_impro02_F006, I hope so.,"Je l'espère.",2.5
625682441da7a5c1eaef3696,2.5,2.5,fru,59.5249,58.1707,Ses02M_impro02_M006, You gotta,Tu dois,3
625682441da7a5c1eaef3697,2.5,3,sad,61.0584,59.0868,Ses02M_impro02_F007," It's going to be really rough.",Ça va être vraiment dur.,2.5
625682441da7a5c1eaef3698,2.5,3.5,sad,63.7973,61.7187,Ses02M_impro02_M007," You gotta take care of our baby for me, alright?","Tu dois t'occuper de notre bébé pour moi, d'accord ?",3
